Stk_code,plainNum
300024.SZ,9
002670.SZ,9
603038.SH,9
002733.SZ,9
002675.SZ,9
300355.SZ,9
603383.SH,9
002829.SZ,9
002120.SZ,9
000559.SZ,9
300130.SZ,9
300729.SZ,9
300109.SZ,9
000531.SZ,9
002746.SZ,9
300087.SZ,9
300081.SZ,9
002109.SZ,9
000608.SZ,9
300369.SZ,9
300451.SZ,9
002027.SZ,9
300098.SZ,9
000560.SZ,9
600067.SH,9
002741.SZ,9
002136.SZ,9
300545.SZ,9
002036.SZ,9
300482.SZ,9
300163.SZ,9
300164.SZ,9
300167.SZ,9
603515.SH,9
002437.SZ,9
002386.SZ,9
002711.SZ,9
300255.SZ,9
002693.SZ,9
300347.SZ,9
603718.SH,9
000043.SZ,9
000032.SZ,9
002088.SZ,9
002694.SZ,9
002920.SZ,8
300121.SZ,8
300132.SZ,8
300424.SZ,8
002445.SZ,8
300407.SZ,8
002775.SZ,8
002925.SZ,8
300176.SZ,8
300431.SZ,8
300112.SZ,8
002787.SZ,8
300430.SZ,8
002789.SZ,8
300396.SZ,8
300395.SZ,8
300212.SZ,8
300261.SZ,8
002778.SZ,8
300190.SZ,8
300413.SZ,8
300068.SZ,8
300247.SZ,8
300038.SZ,8
300438.SZ,8
300370.SZ,8
300314.SZ,8
300375.SZ,8
002478.SZ,8
002434.SZ,8
002732.SZ,8
300471.SZ,8
300169.SZ,8
300386.SZ,8
002752.SZ,8
300090.SZ,8
300260.SZ,8
300237.SZ,8
002724.SZ,8
002664.SZ,8
002501.SZ,8
002288.SZ,8
002289.SZ,8
002148.SZ,8
000957.SZ,8
300502.SZ,8
002044.SZ,8
000058.SZ,8
002221.SZ,8
000813.SZ,8
600880.SH,8
601099.SH,8
000921.SZ,8
600804.SH,8
600116.SH,8
000899.SZ,8
600644.SH,8
002213.SZ,8
300359.SZ,8
000576.SZ,8
002071.SZ,8
000661.SZ,8
002102.SZ,8
000546.SZ,8
000619.SZ,8
300607.SZ,8
601311.SH,8
000408.SZ,8
002366.SZ,8
300602.SZ,8
000966.SZ,8
002049.SZ,8
600597.SH,8
000150.SZ,8
002163.SZ,8
000677.SZ,8
300726.SZ,8
300235.SZ,8
000680.SZ,8
300210.SZ,7
002859.SZ,7
002373.SZ,7
000959.SZ,7
002790.SZ,7
000045.SZ,7
002823.SZ,7
002363.SZ,7
002837.SZ,7
300516.SZ,7
002023.SZ,7
002841.SZ,7
300208.SZ,7
002780.SZ,7
002352.SZ,7
000958.SZ,7
002360.SZ,7
000778.SZ,7
300325.SZ,7
603111.SH,7
002379.SZ,7
600522.SH,7
002795.SZ,7
000028.SZ,7
002007.SZ,7
000822.SZ,7
000712.SZ,7
002014.SZ,7
300452.SZ,7
000166.SZ,7
002328.SZ,7
002757.SZ,7
002860.SZ,7
002608.SZ,7
002769.SZ,7
300496.SZ,7
002802.SZ,7
300228.SZ,7
000908.SZ,7
300239.SZ,7
300242.SZ,7
603899.SH,7
300506.SZ,7
300013.SZ,7
000301.SZ,7
000711.SZ,7
300076.SZ,7
002160.SZ,7
300691.SZ,7
000547.SZ,7
000716.SZ,7
002552.SZ,7
603996.SH,7
002504.SZ,7
300436.SZ,7
300580.SZ,7
002513.SZ,7
601229.SH,7
000797.SZ,7
000415.SZ,7
600387.SH,7
002728.SZ,7
002735.SZ,7
002739.SZ,7
300444.SZ,7
300404.SZ,7
300075.SZ,7
002683.SZ,7
300040.SZ,7
000707.SZ,7
300308.SZ,7
300398.SZ,7
300354.SZ,7
601718.SH,7
002094.SZ,7
002208.SZ,7
300625.SZ,7
002645.SZ,7
002575.SZ,7
002104.SZ,7
002112.SZ,7
300035.SZ,7
000584.SZ,7
002119.SZ,7
603060.SH,7
300092.SZ,7
300091.SZ,7
000697.SZ,7
300590.SZ,6
002455.SZ,6
000755.SZ,6
300418.SZ,6
300589.SZ,6
300195.SZ,6
000761.SZ,6
002659.SZ,6
002699.SZ,6
300388.SZ,6
002771.SZ,6
300006.SZ,6
300539.SZ,6
002342.SZ,6
002490.SZ,6
002569.SZ,6
000421.SZ,6
002716.SZ,6
300243.SZ,6
000767.SZ,6
600995.SH,6
600339.SH,6
002239.SZ,6
000812.SZ,6
300119.SZ,6
300529.SZ,6
300606.SZ,6
002480.SZ,6
300410.SZ,6
002545.SZ,6
002359.SZ,6
002077.SZ,6
300194.SZ,6
000791.SZ,6
300461.SZ,6
000735.SZ,6
600869.SH,6
300577.SZ,6
300158.SZ,6
000782.SZ,6
002722.SZ,6
300443.SZ,6
002588.SZ,6
300312.SZ,6
300390.SZ,6
000420.SZ,6
000037.SZ,6
601688.SH,6
002217.SZ,6
300161.SZ,6
002196.SZ,6
300393.SZ,6
000566.SZ,6
002767.SZ,6
000573.SZ,6
300026.SZ,6
600392.SH,6
300515.SZ,6
002207.SZ,6
002377.SZ,6
002487.SZ,6
002646.SZ,6
300399.SZ,6
002636.SZ,6
000587.SZ,6
603019.SH,6
300332.SZ,6
002392.SZ,6
300031.SZ,6
002621.SZ,6
002174.SZ,6
600409.SH,6
300445.SZ,6
300374.SZ,6
002619.SZ,6
002161.SZ,6
002812.SZ,6
002598.SZ,6
000636.SZ,6
002406.SZ,6
300377.SZ,6
300661.SZ,6
002555.SZ,6
300494.SZ,5
603919.SH,5
603848.SH,5
300493.SZ,5
300231.SZ,5
300222.SZ,5
000008.SZ,5
300480.SZ,5
300214.SZ,5
300467.SZ,5
300553.SZ,5
000155.SZ,5
300422.SZ,5
300184.SZ,5
603626.SH,5
603100.SH,5
300406.SZ,5
300118.SZ,5
300274.SZ,5
300272.SZ,5
000537.SZ,5
300420.SZ,5
300426.SZ,5
000529.SZ,5
300405.SZ,5
300523.SZ,5
300618.SZ,5
002354.SZ,5
300102.SZ,5
002272.SZ,5
300097.SZ,5
300294.SZ,5
300283.SZ,5
300621.SZ,5
300378.SZ,5
000591.SZ,5
000571.SZ,5
300285.SZ,5
300381.SZ,5
300106.SZ,5
300655.SZ,5
300203.SZ,5
300649.SZ,5
002175.SZ,5
300153.SZ,5
002464.SZ,5
300548.SZ,5
300546.SZ,5
603729.SH,5
300202.SZ,5
603813.SH,5
300541.SZ,5
300537.SZ,5
300428.SZ,5
300562.SZ,5
002150.SZ,5
000655.SZ,5
002796.SZ,5
